ethnicity,year,count,percentage
亞洲人（非華人）,2011,365611.0,81.0
亞洲人（非華人）,2016,457188.0,78.2
亞洲人（非華人）,2021,487862.0,78.7
Asian (other than Chinese),2011,,
Asian (other than Chinese),2016,,
Asian (other than Chinese),2021,,
菲律賓人,2011,133018.0,29.5
菲律賓人,2016,184081.0,31.5
菲律賓人,2021,201291.0,32.5
Filipino,2011,,
Filipino,2016,,
Filipino,2021,,
印尼人,2011,133377.0,29.6
印尼人,2016,153299.0,26.2
印尼人,2021,142065.0,22.9
Indonesian,2011,,
Indonesian,2016,,
Indonesian,2021,,
南亞裔人士,2011,65521.0,14.5
南亞裔人士,2016,84875.0,14.5
南亞裔人士,2021,101969.0,16.5
South Asian,2011,,
South Asian,2016,,
South Asian,2021,,
印度人,2011,28616.0,6.3
印度人,2016,36462.0,6.2
印度人,2021,42569.0,6.9
Indian,2011,,
Indian,2016,,
Indian,2021,,
尼泊爾人,2011,16518.0,3.7
尼泊爾人,2016,25472.0,4.4
尼泊爾人,2021,29701.0,4.8
Nepalese,2011,,
Nepalese,2016,,
Nepalese,2021,,
巴基斯坦人,2011,18042.0,4.0
巴基斯坦人,2016,18094.0,3.1
巴基斯坦人,2021,24385.0,3.9
Pakistani,2011,,
Pakistani,2016,,
Pakistani,2021,,
其他南亞裔人士[1],2011,2345.0,0.5
其他南亞裔人士[1],2016,4847.0,0.8
其他南亞裔人士[1],2021,5314.0,0.9
Other South Asian[1],2011,,
Other South Asian[1],2016,,
Other South Asian[1],2021,,
泰國人,2011,11213.0,2.5
泰國人,2016,10215.0,1.7
泰國人,2021,12972.0,2.1
Thai,2011,,
Thai,2016,,
Thai,2021,,
日本人,2011,12580.0,2.8
日本人,2016,9976.0,1.7
日本人,2021,10291.0,1.7
Japanese,2011,,
Japanese,2016,,
Japanese,2021,,
韓國人,2011,5209.0,1.2
韓國人,2016,6309.0,1.1
韓國人,2021,8700.0,1.4
Korean,2011,,
Korean,2016,,
Korean,2021,,
其他亞洲人,2011,4693.0,1.0
其他亞洲人,2016,8433.0,1.4
其他亞洲人,2021,10574.0,1.7
Other Asian,2011,,
Other Asian,2016,,
Other Asian,2021,,
白人,2011,55236.0,12.2
白人,2016,58209.0,10.0
白人,2021,61582.0,9.9
White,2011,,
White,2016,,
White,2021,,
混血兒,2011,29001.0,6.4
混血兒,2016,65255.0,11.2
混血兒,2021,66732.0,10.8
Mixed,2011,,
Mixed,2016,,
Mixed,2021,,
華人父或母,2011,24649.0,5.5
華人父或母,2016,53581.0,9.2
華人父或母,2021,54541.0,8.8
With Chinese parent,2011,,
With Chinese parent,2016,,
With Chinese parent,2021,,
其他混血兒,2011,4352.0,1.0
其他混血兒,2016,11674.0,2.0
其他混血兒,2021,12191.0,2.0
Other mixed,2011,,
Other mixed,2016,,
Other mixed,2021,,
其他[2],2011,1335.0,0.3
其他[2],2016,3731.0,0.6
其他[2],2021,3392.0,0.5
Others[2],2011,,
Others[2],2016,,
Others[2],2021,,
"All ethnic minorities, excluding foreign domestic helpers[3]",2011,0.028,
"All ethnic minorities, excluding foreign domestic helpers[3]",2016,0.036,
"All ethnic minorities, excluding foreign domestic helpers[3]",2021,0.041,
註釋：,2011,,
註釋：,2016,,
註釋：,2021,,
[1],2011,,
[1],2016,,
[1],2021,,
[2],2011,,
[2],2016,,
[2],2021,,
[3],2011,,
[3],2016,,
[3],2021,,
Notes:,2011,,
Notes:,2016,,
Notes:,2021,,
[1],2011,,
[1],2016,,
[1],2021,,
[2],2011,,
[2],2016,,
[2],2021,,
[3],2011,,
[3],2016,,
[3],2021,,
