year,ethnicity,age_group,count,median_age
2011,華人父或母,"總計
Total",24649,22.9
2011,其他混血兒,< 15,2397,13.4
2011,其他混血兒,15 - 24,558,13.4
2011,其他混血兒,25 - 34,619,13.4
2011,其他混血兒,35 - 44,431,13.4
2011,其他混血兒,45 - 54,210,13.4
2011,其他混血兒,55 - 64,59,13.4
2011,其他混血兒,65+,78,13.4
2011,其他混血兒,"總計
Total",4352,13.4
2011,其他[3],< 15,215,34.9
2011,其他[3],15 - 24,80,34.9
2011,其他[3],25 - 34,380,34.9
2011,其他[3],35 - 44,453,34.9
2011,其他[3],45 - 54,158,34.9
2011,其他[3],55 - 64,49,34.9
2011,其他[3],65+,-,34.9
2011,其他[3],"總計
Total",1335,34.9
2011,所有少數族裔人士,< 15,44320,33.7
2011,所有少數族裔人士,15 - 24,34768,33.7
2011,所有少數族裔人士,25 - 34,166283,33.7
2011,所有少數族裔人士,35 - 44,120821,33.7
2011,所有少數族裔人士,45 - 54,54601,33.7
2011,所有少數族裔人士,55 - 64,20480,33.7
2011,所有少數族裔人士,65+,9910,33.7
2011,所有少數族裔人士,"總計
Total",451183,33.7
2011,All ethnic minorities,< 15,9.8,
2011,All ethnic minorities,15 - 24,7.7,
2011,All ethnic minorities,25 - 34,36.9,
2011,All ethnic minorities,35 - 44,26.8,
2011,All ethnic minorities,45 - 54,12.1,
2011,All ethnic minorities,55 - 64,4.5,
2011,All ethnic minorities,65+,2.2,
2011,All ethnic minorities,"總計
Total",100.0,
2011,撇除外籍家庭傭工後的所有少數族裔人士,< 15,44320,34.7
2011,撇除外籍家庭傭工後的所有少數族裔人士,15 - 24,19536,34.7
2011,撇除外籍家庭傭工後的所有少數族裔人士,25 - 34,35835,34.7
2011,撇除外籍家庭傭工後的所有少數族裔人士,35 - 44,43393,34.7
2011,撇除外籍家庭傭工後的所有少數族裔人士,45 - 54,28907,34.7
2011,撇除外籍家庭傭工後的所有少數族裔人士,55 - 64,15333,34.7
2011,撇除外籍家庭傭工後的所有少數族裔人士,65+,9698,34.7
2011,撇除外籍家庭傭工後的所有少數族裔人士,"總計
Total",197022,34.7
2011,"All ethnic minorities, excluding foreign domestic helpers",< 15,22.5,
2011,"All ethnic minorities, excluding foreign domestic helpers",15 - 24,9.9,
2011,"All ethnic minorities, excluding foreign domestic helpers",25 - 34,18.2,
2011,"All ethnic minorities, excluding foreign domestic helpers",35 - 44,22.0,
2011,"All ethnic minorities, excluding foreign domestic helpers",45 - 54,14.7,
2011,"All ethnic minorities, excluding foreign domestic helpers",55 - 64,7.8,
2011,"All ethnic minorities, excluding foreign domestic helpers",65+,4.9,
