year,ethnicity_cn,ethnicity_en,age_group,number
2011,Mixed,華人父或母,< 15,37.3
2011,Mixed,華人父或母,15 - 24,17.3
2011,Mixed,華人父或母,25 - 34,14.4
2011,Mixed,華人父或母,35 - 44,11.5
2011,Mixed,華人父或母,45 - 54,10.0
2011,Mixed,華人父或母,55 - 64,4.8
2011,Mixed,華人父或母,65+,4.8
2011,Mixed,華人父或母,"總計
Total",100.0
2011,Mixed,華人父或母,"年齡
中位數
Median 
age",
2011,With Chinese parent,其他混血兒,< 15,34.2
2011,With Chinese parent,其他混血兒,15 - 24,18.0
2011,With Chinese parent,其他混血兒,25 - 34,14.4
2011,With Chinese parent,其他混血兒,35 - 44,11.8
2011,With Chinese parent,其他混血兒,45 - 54,10.9
2011,With Chinese parent,其他混血兒,55 - 64,5.4
2011,With Chinese parent,其他混血兒,65+,5.4
2011,With Chinese parent,其他混血兒,"總計
Total",100.0
2011,With Chinese parent,其他混血兒,"年齡
中位數
Median 
age",
2011,Other mixed,其他[3],< 15,55.1
2011,Other mixed,其他[3],15 - 24,12.8
2011,Other mixed,其他[3],25 - 34,14.2
2011,Other mixed,其他[3],35 - 44,9.9
2011,Other mixed,其他[3],45 - 54,4.8
2011,Other mixed,其他[3],55 - 64,1.4
2011,Other mixed,其他[3],65+,1.8
2011,Other mixed,其他[3],"總計
Total",100.0
2011,Other mixed,其他[3],"年齡
中位數
Median 
age",
2011,Others[3],All ethnic minorities,< 15,16.1
2011,Others[3],All ethnic minorities,15 - 24,6.0
2011,Others[3],All ethnic minorities,25 - 34,28.5
2011,Others[3],All ethnic minorities,35 - 44,33.9
2011,Others[3],All ethnic minorities,45 - 54,11.8
2011,Others[3],All ethnic minorities,55 - 64,3.7
2011,Others[3],All ethnic minorities,65+,
2011,Others[3],All ethnic minorities,"總計
Total",100.0
2011,Others[3],All ethnic minorities,"年齡
中位數
Median 
age",
2011,nan,"All ethnic minorities, excluding foreign domestic helpers",< 15,
2011,nan,"All ethnic minorities, excluding foreign domestic helpers",15 - 24,
2011,nan,"All ethnic minorities, excluding foreign domestic helpers",25 - 34,
2011,nan,"All ethnic minorities, excluding foreign domestic helpers",35 - 44,
2011,nan,"All ethnic minorities, excluding foreign domestic helpers",45 - 54,
2011,nan,"All ethnic minorities, excluding foreign domestic helpers",55 - 64,
2011,nan,"All ethnic minorities, excluding foreign domestic helpers",65+,
2011,nan,"All ethnic minorities, excluding foreign domestic helpers","總計
Total",
2011,nan,"All ethnic minorities, excluding foreign domestic helpers","年齡
中位數
Median 
age",
2011,nan,全港人口,< 15,
2011,nan,全港人口,15 - 24,
2011,nan,全港人口,25 - 34,
2011,nan,全港人口,35 - 44,
2011,nan,全港人口,45 - 54,
2011,nan,全港人口,55 - 64,
2011,nan,全港人口,65+,
2011,nan,全港人口,"總計
Total",
2011,nan,全港人口,"年齡
中位數
Median 
age",
2011,Whole population,,< 15,11.6
2011,Whole population,,15 - 24,12.4
2011,Whole population,,25 - 34,15.3
2011,Whole population,,35 - 44,16.1
2011,Whole population,,45 - 54,18.2
2011,Whole population,,55 - 64,13.0
2011,Whole population,,65+,13.3
2011,Whole population,,"總計
Total",100.0
2011,Whole population,,"年齡
中位數
Median 
age",
