year,ethnicity,age_group,count,median_age
2011.0,Pakistani,Unnamed: 8,3.5,
2011.0,Pakistani,Unnamed: 9,3.2,
2011.0,Pakistani,Unnamed: 10,100.0,
2011.0,其他南亞裔人士[2],Unnamed: 3,347.0,37.7
2011.0,其他南亞裔人士[2],Unnamed: 4,196.0,37.7
2011.0,其他南亞裔人士[2],Unnamed: 5,495.0,37.7
2011.0,其他南亞裔人士[2],Unnamed: 6,590.0,37.7
2011.0,其他南亞裔人士[2],Unnamed: 7,345.0,37.7
2011.0,其他南亞裔人士[2],Unnamed: 8,347.0,37.7
2011.0,其他南亞裔人士[2],Unnamed: 9,25.0,37.7
2011.0,其他南亞裔人士[2],Unnamed: 10,2345.0,37.7
2011.0,Other South Asian[2],Unnamed: 3,14.8,
2011.0,Other South Asian[2],Unnamed: 4,8.4,
2011.0,Other South Asian[2],Unnamed: 5,21.1,
2011.0,Other South Asian[2],Unnamed: 6,25.2,
2011.0,Other South Asian[2],Unnamed: 7,14.7,
2011.0,Other South Asian[2],Unnamed: 8,14.8,
2011.0,Other South Asian[2],Unnamed: 9,1.1,
2011.0,Other South Asian[2],Unnamed: 10,100.0,
2011.0,泰國人,Unnamed: 3,398.0,44.6
2011.0,泰國人,Unnamed: 4,266.0,44.6
2011.0,泰國人,Unnamed: 5,1540.0,44.6
2011.0,泰國人,Unnamed: 6,3563.0,44.6
2011.0,泰國人,Unnamed: 7,3405.0,44.6
2011.0,泰國人,Unnamed: 8,1656.0,44.6
2011.0,泰國人,Unnamed: 9,385.0,44.6
2011.0,泰國人,Unnamed: 10,11213.0,44.6
2011.0,Thai,Unnamed: 3,3.5,
2011.0,Thai,Unnamed: 4,2.4,
2011.0,Thai,Unnamed: 5,13.7,
2011.0,Thai,Unnamed: 6,31.8,
2011.0,Thai,Unnamed: 7,30.4,
2011.0,Thai,Unnamed: 8,14.8,
2011.0,Thai,Unnamed: 9,3.4,
2011.0,Thai,Unnamed: 10,100.0,
2011.0,日本人,Unnamed: 3,2152.0,40.1
2011.0,日本人,Unnamed: 4,377.0,40.1
2011.0,日本人,Unnamed: 5,1724.0,40.1
2011.0,日本人,Unnamed: 6,3893.0,40.1
2011.0,日本人,Unnamed: 7,2694.0,40.1
2011.0,日本人,Unnamed: 8,1244.0,40.1
2011.0,日本人,Unnamed: 9,496.0,40.1
2011.0,日本人,Unnamed: 10,12580.0,40.1
2011.0,Japanese,Unnamed: 3,17.1,
