region,household_size,measure,value
Whole Country,One-person household,Number of households,125490007.0
Whole Country,One-person household,proportion,25.39
Whole Country,Two-person household,Number of households,146690059.0
Whole Country,Two-person household,proportion,29.68
Whole Country,Three-person households,Number of households,103700982.0
Whole Country,Three-person households,proportion,20.99
Whole Country,Four-person households,Number of households,65100986.0
Whole Country,Four-person households,proportion,13.17
Whole Country,Five-person households,Number of households,30513352.0
Whole Country,Five-person households,proportion,6.17
Whole Country,Six-person households,Number of households,15125667.0
Whole Country,Six-person households,proportion,3.06
Whole Country,Seven-person households,Number of households,4589308.0
Whole Country,Seven-person households,proportion,0.93
Whole Country,Eight-person households,Number of households,1557638.0
Whole Country,Eight-person households,proportion,0.32
Whole Country,Nine-person households,Number of households,655060.0
Whole Country,Nine-person households,proportion,0.13
Whole Country,Households with 10 or more people,Number of households,734364.0
Whole Country,Households with 10 or more people,proportion,0.15
Beijing,One-person household,Number of households,2463325.0
Beijing,One-person household,proportion,29.93
Beijing,Two-person household,Number of households,2727924.0
Beijing,Two-person household,proportion,33.14
Beijing,Three-person households,Number of households,1787020.0
Beijing,Three-person households,proportion,21.71
Beijing,Four-person households,Number of households,736163.0
Beijing,Four-person households,proportion,8.94
Beijing,Five-person households,Number of households,362811.0
Beijing,Five-person households,proportion,4.41
Beijing,Six-person households,Number of households,122068.0
Beijing,Six-person households,proportion,1.48
Beijing,Seven-person households,Number of households,20084.0
Beijing,Seven-person households,proportion,0.24
Beijing,Eight-person households,Number of households,6721.0
Beijing,Eight-person households,proportion,0.08
Beijing,Nine-person households,Number of households,2426.0
Beijing,Nine-person households,proportion,0.03
Beijing,Households with 10 or more people,Number of households,2250.0
Beijing,Households with 10 or more people,proportion,0.03
Tianjin,One-person household,Number of households,1167393.0
Tianjin,One-person household,proportion,23.99
Tianjin,Two-person household,Number of households,1727332.0
Tianjin,Two-person household,proportion,35.49
Tianjin,Three-person households,Number of households,1209181.0
Tianjin,Three-person households,proportion,24.84
Tianjin,Four-person households,Number of households,511932.0
Tianjin,Four-person households,proportion,10.52
Tianjin,Five-person households,Number of households,167772.0
Tianjin,Five-person households,proportion,3.45
Tianjin,Six-person households,Number of households,65668.0
Tianjin,Six-person households,proportion,1.35
Tianjin,Seven-person households,Number of households,11920.0
Tianjin,Seven-person households,proportion,0.24
Tianjin,Eight-person households,Number of households,3353.0
Tianjin,Eight-person households,proportion,0.07
Tianjin,Nine-person households,Number of households,1165.0
Tianjin,Nine-person households,proportion,0.02
Tianjin,Households with 10 or more people,Number of households,1400.0
Tianjin,Households with 10 or more people,proportion,0.03
Hebei,One-person household,Number of households,5082767.0
Hebei,One-person household,proportion,19.99
Hebei,Two-person household,Number of households,7970304.0
Hebei,Two-person household,proportion,31.34
Hebei,Three-person households,Number of households,5515397.0
Hebei,Three-person households,proportion,21.69
Hebei,Four-person households,Number of households,3942333.0
Hebei,Four-person households,proportion,15.5
Hebei,Five-person households,Number of households,1612428.0
Hebei,Five-person households,proportion,6.34
Hebei,Six-person households,Number of households,921110.0
Hebei,Six-person households,proportion,3.62
Hebei,Seven-person households,Number of households,262348.0
Hebei,Seven-person households,proportion,1.03
Hebei,Eight-person households,Number of households,71919.0
Hebei,Eight-person households,proportion,0.28
Hebei,Nine-person households,Number of households,25660.0
Hebei,Nine-person households,proportion,0.1
Hebei,Households with 10 or more people,Number of households,25343.0
Hebei,Households with 10 or more people,proportion,0.1
Shanxi,One-person household,Number of households,3057920.0
Shanxi,One-person household,proportion,23.99
Shanxi,Two-person household,Number of households,4052452.0
Shanxi,Two-person household,proportion,31.79
Shanxi,Three-person households,Number of households,2966829.0
Shanxi,Three-person households,proportion,23.28
Shanxi,Four-person households,Number of households,1766944.0
Shanxi,Four-person households,proportion,13.86
Shanxi,Five-person households,Number of households,562979.0
Shanxi,Five-person households,proportion,4.42
Shanxi,Six-person households,Number of households,253691.0
Shanxi,Six-person households,proportion,1.99
Shanxi,Seven-person households,Number of households,54906.0
Shanxi,Seven-person households,proportion,0.43
Shanxi,Eight-person households,Number of households,16458.0
Shanxi,Eight-person households,proportion,0.13
Shanxi,Nine-person households,Number of households,6177.0
Shanxi,Nine-person households,proportion,0.05
Shanxi,Households with 10 or more people,Number of households,7786.0
Shanxi,Households with 10 or more people,proportion,0.06
Inner Mongolia,One-person household,Number of households,2209731.0
Inner Mongolia,One-person household,proportion,23.3
Inner Mongolia,Two-person household,Number of households,3565544.0
Inner Mongolia,Two-person household,proportion,37.6
Inner Mongolia,Three-person households,Number of households,2389562.0
Inner Mongolia,Three-person households,proportion,25.2
Inner Mongolia,Four-person households,Number of households,950775.0
Inner Mongolia,Four-person households,proportion,10.03
Inner Mongolia,Five-person households,Number of households,257424.0
Inner Mongolia,Five-person households,proportion,2.71
Inner Mongolia,Six-person households,Number of households,91271.0
Inner Mongolia,Six-person households,proportion,0.96
Inner Mongolia,Seven-person households,Number of households,14473.0
Inner Mongolia,Seven-person households,proportion,0.15
Inner Mongolia,Eight-person households,Number of households,3070.0
Inner Mongolia,Eight-person households,proportion,0.03
Inner Mongolia,Nine-person households,Number of households,955.0
Inner Mongolia,Nine-person households,proportion,0.01
Inner Mongolia,Households with 10 or more people,Number of households,1152.0
Inner Mongolia,Households with 10 or more people,proportion,0.01
Liaoning,One-person household,Number of households,4647274.0
Liaoning,One-person household,proportion,26.61
Liaoning,Two-person household,Number of households,6444633.0
Liaoning,Two-person household,proportion,36.9
Liaoning,Three-person households,Number of households,4180433.0
