age_group,sex,main_source_of_livelihood,value
87,Male,Unemployment Insurance Benefits,3
87,Female,Unemployment Insurance Benefits,5
87,Male,Property income,355
87,Female,Property income,358
87,Male,Family support from other members,34371
87,Female,Family support from other members,69141
87,Male,Other,4081
87,Female,Other,6066
88,Total,Population aged 15 and above,154282
88,Male,Population aged 15 and above,61448
88,Female,Population aged 15 and above,92834
88,Male,Labor income,1404
88,Female,Labor income,1315
88,Male,Pension / Retirement Allowance,27960
88,Female,Pension / Retirement Allowance,27056
88,Male,Minimum living allowance,3857
88,Female,Minimum living allowance,5369
88,Male,Unemployment Insurance Benefits,3
88,Female,Unemployment Insurance Benefits,5
88,Male,Property income,217
88,Female,Property income,274
88,Male,Family support from other members,25109
88,Female,Family support from other members,54032
88,Male,Other,2898
88,Female,Other,4783
89,Total,Population aged 15 and above,122545
89,Male,Population aged 15 and above,48554
89,Female,Population aged 15 and above,73991
89,Male,Labor income,1001
89,Female,Labor income,979
89,Male,Pension / Retirement Allowance,22671
89,Female,Pension / Retirement Allowance,20457
89,Male,Minimum living allowance,2917
89,Female,Minimum living allowance,4453
89,Male,Unemployment Insurance Benefits,3
89,Female,Unemployment Insurance Benefits,3
89,Male,Property income,169
89,Female,Property income,217
89,Male,Family support from other members,19469
89,Female,Family support from other members,44067
89,Male,Other,2324
89,Female,Other,3815
90-94 years old,Total,Population aged 15 and above,312846
90-94 years old,Male,Population aged 15 and above,115437
90-94 years old,Female,Population aged 15 and above,197409
90-94 years old,Male,Labor income,1737
90-94 years old,Female,Labor income,2001
90-94 years old,Male,Pension / Retirement Allowance,53956
90-94 years old,Female,Pension / Retirement Allowance,52799
90-94 years old,Male,Minimum living allowance,6773
90-94 years old,Female,Minimum living allowance,12314
90-94 years old,Male,Unemployment Insurance Benefits,2
90-94 years old,Female,Unemployment Insurance Benefits,11
90-94 years old,Male,Property income,414
90-94 years old,Female,Property income,536
90-94 years old,Male,Family support from other members,47061
90-94 years old,Female,Family support from other members,119593
90-94 years old,Male,Other,5494
90-94 years old,Female,Other,10155
90,Total,Population aged 15 and above,106074
90,Male,Population aged 15 and above,41051
90,Female,Population aged 15 and above,65023
90,Male,Labor income,707
90,Female,Labor income,775
90,Male,Pension / Retirement Allowance,19484
90,Female,Pension / Retirement Allowance,17782
90,Male,Minimum living allowance,2458
90,Female,Minimum living allowance,3947
90,Male,Unemployment Insurance Benefits,1
90,Female,Unemployment Insurance Benefits,3
90,Male,Property income,154
90,Female,Property income,175
90,Male,Family support from other members,16321
90,Female,Family support from other members,38950
90,Male,Other,1926
90,Female,Other,3391
91,Total,Population aged 15 and above,72886
91,Male,Population aged 15 and above,27037
91,Female,Population aged 15 and above,45849
91,Male,Labor income,390
91,Female,Labor income,449
91,Male,Pension / Retirement Allowance,12666
91,Female,Pension / Retirement Allowance,12698
91,Male,Minimum living allowance,1606
91,Female,Minimum living allowance,2839
91,Male,Unemployment Insurance Benefits,1
91,Female,Unemployment Insurance Benefits,4
91,Male,Property income,97
91,Female,Property income,116
91,Male,Family support from other members,11026
91,Female,Family support from other members,27420
91,Male,Other,1251
91,Female,Other,2323
92,Total,Population aged 15 and above,60934
92,Male,Population aged 15 and above,21980
92,Female,Population aged 15 and above,38954
92,Male,Labor income,289
92,Female,Labor income,364
92,Male,Pension / Retirement Allowance,10122
92,Female,Pension / Retirement Allowance,10214
92,Male,Minimum living allowance,1285
92,Female,Minimum living allowance,2404
92,Male,Unemployment Insurance Benefits,0
92,Female,Unemployment Insurance Benefits,3
92,Male,Property income,78
92,Female,Property income,118
92,Male,Family support from other members,9132
92,Female,Family support from other members,23899
92,Male,Other,1074
92,Female,Other,1952
93,Total,Population aged 15 and above,42736
93,Male,Population aged 15 and above,15095
93,Female,Population aged 15 and above,27641
93,Male,Labor income,202
93,Female,Labor income,234
93,Male,Pension / Retirement Allowance,6880
93,Female,Pension / Retirement Allowance,7041
93,Male,Minimum living allowance,842
93,Female,Minimum living allowance,1786
93,Male,Unemployment Insurance Benefits,0
93,Female,Unemployment Insurance Benefits,0
93,Male,Property income,55
93,Female,Property income,83
93,Male,Family support from other members,6379
93,Female,Family support from other members,17042
93,Male,Other,737
93,Female,Other,1455
94,Total,Population aged 15 and above,30216
94,Male,Population aged 15 and above,10274
94,Female,Population aged 15 and above,19942
94,Male,Labor income,149
94,Female,Labor income,179
94,Male,Pension / Retirement Allowance,4804
94,Female,Pension / Retirement Allowance,5064
94,Male,Minimum living allowance,582
94,Female,Minimum living allowance,1338
94,Male,Unemployment Insurance Benefits,0
94,Female,Unemployment Insurance Benefits,1
94,Male,Property income,30
94,Female,Property income,44
94,Male,Family support from other members,4203
94,Female,Family support from other members,12282
94,Male,Other,506
94,Female,Other,1034
95-99 years old,Total,Population aged 15 and above,63626
95-99 years old,Male,Population aged 15 and above,19576
95-99 years old,Female,Population aged 15 and above,44050
95-99 years old,Male,Labor income,263
95-99 years old,Female,Labor income,394
95-99 years old,Male,Pension / Retirement Allowance,8638
95-99 years old,Female,Pension / Retirement Allowance,10253
95-99 years old,Male,Minimum living allowance,1210
95-99 years old,Female,Minimum living allowance,3077
95-99 years old,Male,Unemployment Insurance Benefits,2
95-99 years old,Female,Unemployment Insurance Benefits,2
95-99 years old,Male,Property income,57
95-99 years old,Female,Property income,112
95-99 years old,Male,Family support from other members,8364
95-99 years old,Female,Family support from other members,27699
95-99 years old,Male,Other,1042
95-99 years old,Female,Other,2513
95,Total,Population aged 15 and above,23449
95,Male,Population aged 15 and above,7523
95,Female,Population aged 15 and above,15926
95,Male,Labor income,95
95,Female,Labor income,154
95,Male,Pension / Retirement Allowance,3374
95,Female,Pension / Retirement Allowance,3894
95,Male,Minimum living allowance,483
95,Female,Minimum living allowance,1066
95,Male,Unemployment Insurance Benefits,0
95,Female,Unemployment Insurance Benefits,1
95,Male,Property income,25
95,Female,Property income,42
95,Male,Family support from other members,3173
95,Female,Family support from other members,9913
95,Male,Other,373
95,Female,Other,856
96,Total,Population aged 15 and above,16489
96,Male,Population aged 15 and above,5063
96,Female,Population aged 15 and above,11426
96,Male,Labor income,72
96,Female,Labor income,84
96,Male,Pension / Retirement Allowance,2242
96,Female,Pension / Retirement Allowance,2707
96,Male,Minimum living allowance,277
96,Female,Minimum living allowance,802
96,Male,Unemployment Insurance Benefits,2
96,Female,Unemployment Insurance Benefits,0
96,Male,Property income,12
96,Female,Property income,30
96,Male,Family support from other members,2182
96,Female,Family support from other members,7130
96,Male,Other,276
96,Female,Other,673
97,Total,Population aged 15 and above,10967
97,Male,Population aged 15 and above,3306
97,Female,Population aged 15 and above,7661
97,Male,Labor income,33
97,Female,Labor income,65
97,Male,Pension / Retirement Allowance,1466
97,Female,Pension / Retirement Allowance,1739
97,Male,Minimum living allowance,225
97,Female,Minimum living allowance,563
97,Male,Unemployment Insurance Benefits,0
97,Female,Unemployment Insurance Benefits,0
97,Male,Property income,8
97,Female,Property income,18
97,Male,Family support from other members,1390
97,Female,Family support from other members,4860
97,Male,Other,184
97,Female,Other,416
98,Total,Population aged 15 and above,7293
98,Male,Population aged 15 and above,2148
98,Female,Population aged 15 and above,5145
98,Male,Labor income,37
98,Female,Labor income,43
98,Male,Pension / Retirement Allowance,906
98,Female,Pension / Retirement Allowance,1104
98,Male,Minimum living allowance,135
98,Female,Minimum living allowance,377
98,Male,Unemployment Insurance Benefits,0
98,Female,Unemployment Insurance Benefits,0
98,Male,Property income,8
98,Female,Property income,15
98,Male,Family support from other members,949
98,Female,Family support from other members,3279
98,Male,Other,113
98,Female,Other,327
99,Total,Population aged 15 and above,5428
99,Male,Population aged 15 and above,1536
99,Female,Population aged 15 and above,3892
99,Male,Labor income,26
99,Female,Labor income,48
99,Male,Pension / Retirement Allowance,650
99,Female,Pension / Retirement Allowance,809
99,Male,Minimum living allowance,90
99,Female,Minimum living allowance,269
99,Male,Unemployment Insurance Benefits,0
99,Female,Unemployment Insurance Benefits,1
99,Male,Property income,4
99,Female,Property income,7
99,Male,Family support from other members,670
99,Female,Family support from other members,2517
99,Male,Other,96
99,Female,Other,241
100 years and above,Total,Population aged 15 and above,7562
100 years and above,Male,Population aged 15 and above,1778
100 years and above,Female,Population aged 15 and above,5784
100 years and above,Male,Labor income,20
100 years and above,Female,Labor income,51
100 years and above,Male,Pension / Retirement Allowance,705
100 years and above,Female,Pension / Retirement Allowance,1096
100 years and above,Male,Minimum living allowance,136
100 years and above,Female,Minimum living allowance,555
100 years and above,Male,Unemployment Insurance Benefits,0
100 years and above,Female,Unemployment Insurance Benefits,0
100 years and above,Male,Property income,6
100 years and above,Female,Property income,14
100 years and above,Male,Family support from other members,799
100 years and above,Female,Family support from other members,3716
100 years and above,Male,Other,112
100 years and above,Female,Other,352
