year,age_group,gender,population_category,inclusion_status,school_attendance_rate
2016,12 – 17,Male,Ethnic minorities,Excluding,95.8
2016,12 – 17,Female,Ethnic minorities,Excluding,96.5
2016,12 – 17,Overall,Ethnic minorities,Excluding,96.2
2016,12 – 17,Male,Whole population,Excluding,97.6
2016,12 – 17,Female,Whole population,Excluding,98.0
2016,12 – 17,Overall,Whole population,Excluding,97.8
2016,18 – 24,Male,Ethnic minorities,Excluding,41.9
2016,18 – 24,Female,Ethnic minorities,Excluding,44.8
2016,18 – 24,Overall,Ethnic minorities,Excluding,43.3
2016,18 – 24,Male,Whole population,Excluding,50.8
2016,18 – 24,Female,Whole population,Excluding,54.4
2016,18 – 24,Overall,Whole population,Excluding,52.6
2016,25+,Male,Ethnic minorities,Excluding,1.0
2016,25+,Female,Ethnic minorities,Excluding,1.0
2016,25+,Overall,Ethnic minorities,Excluding,1.0
2016,25+,Male,Whole population,Excluding,0.6
2016,25+,Female,Whole population,Excluding,0.6
2016,25+,Overall,Whole population,Excluding,0.6
