age_group,gender,education_level,count
30-34 years old,Male,Elementary School,240003
30-34 years old,Male,Junior high school,2352849
30-34 years old,Male,High School,1267310
30-34 years old,Male,College (Associate's Degree),972207
30-34 years old,Male,University undergraduate,835279
30-34 years old,Male,Master's,98426
30-34 years old,Male,Doctorate,12417
35-39 years old,Male,Total,4650831
35-39 years old,Male,never attended school,10926
35-39 years old,Male,Preschool education,634
35-39 years old,Male,Elementary School,270088
35-39 years old,Male,Junior high school,2112565
35-39 years old,Male,High School,902061
35-39 years old,Male,College (Associate's Degree),625818
35-39 years old,Male,University undergraduate,630781
35-39 years old,Male,Master's,84811
35-39 years old,Male,Doctorate,13147
40-44 years old,Male,Total,4294238
40-44 years old,Male,never attended school,15742
40-44 years old,Male,Preschool education,700
40-44 years old,Male,Elementary School,427652
40-44 years old,Male,Junior high school,2115964
40-44 years old,Male,High School,822580
40-44 years old,Male,College (Associate's Degree),457357
40-44 years old,Male,University undergraduate,391651
40-44 years old,Male,Master's,52074
40-44 years old,Male,Doctorate,10518
45-49 years old,Male,Total,5114136
45-49 years old,Male,never attended school,26429
45-49 years old,Male,Preschool education,1231
45-49 years old,Male,Elementary School,785914
45-49 years old,Male,Junior high school,2692768
45-49 years old,Male,High School,842314
45-49 years old,Male,College (Associate's Degree),407775
45-49 years old,Male,University undergraduate,316362
45-49 years old,Male,Master's,34101
45-49 years old,Male,Doctorate,7242
50-54 years old,Male,Total,5042613
50-54 years old,Male,never attended school,35349
50-54 years old,Male,Preschool education,1860
50-54 years old,Male,Elementary School,1103485
50-54 years old,Male,Junior high school,2656211
50-54 years old,Male,High School,696750
50-54 years old,Male,College (Associate's Degree),291973
50-54 years old,Male,University undergraduate,229950
50-54 years old,Male,Master's,22028
50-54 years old,Male,Doctorate,5007
55-59 years old,Male,Total,3645765
55-59 years old,Male,never attended school,29550
55-59 years old,Male,Preschool education,1703
55-59 years old,Male,Elementary School,837667
55-59 years old,Male,Junior high school,1779501
55-59 years old,Male,High School,623247
55-59 years old,Male,College (Associate's Degree),205506
55-59 years old,Male,University undergraduate,148755
55-59 years old,Male,Master's,15638
55-59 years old,Male,Doctorate,4198
60-64 years old,Male,Total,1566873
60-64 years old,Male,never attended school,34408
60-64 years old,Male,Preschool education,1808
60-64 years old,Male,Elementary School,617785
60-64 years old,Male,Junior high school,681085
60-64 years old,Male,High School,202499
60-64 years old,Male,College (Associate's Degree),19255
60-64 years old,Male,University undergraduate,8349
60-64 years old,Male,Master's,1084
60-64 years old,Male,Doctorate,600
65-69 years old,Male,Total,1231032
65-69 years old,Male,never attended school,44679
65-69 years old,Male,Preschool education,2399
65-69 years old,Male,Elementary School,663432
65-69 years old,Male,Junior high school,429385
65-69 years old,Male,High School,78978
65-69 years old,Male,College (Associate's Degree),8593
65-69 years old,Male,University undergraduate,3146
65-69 years old,Male,Master's,314
65-69 years old,Male,Doctorate,106
70-74 years old,Male,Total,537995
70-74 years old,Male,never attended school,29903
70-74 years old,Male,Preschool education,1689
70-74 years old,Male,Elementary School,344555
70-74 years old,Male,Junior high school,138839
70-74 years old,Male,High School,18825
70-74 years old,Male,College (Associate's Degree),3081
70-74 years old,Male,University undergraduate,1001
70-74 years old,Male,Master's,80
70-74 years old,Male,Doctorate,22
75 years and above,Male,Total,269936
75 years and above,Male,never attended school,25098
75 years and above,Male,Preschool education,1449
75 years and above,Male,Elementary School,176849
75 years and above,Male,Junior high school,54516
75 years and above,Male,High School,9002
75 years and above,Male,College (Associate's Degree),1954
75 years and above,Male,University undergraduate,987
75 years and above,Male,Master's,60
75 years and above,Male,Doctorate,21
16-19 years old,Female,Total,288914
16-19 years old,Female,never attended school,568
16-19 years old,Female,Preschool education,224
16-19 years old,Female,Elementary School,10937
16-19 years old,Female,Junior high school,136214
16-19 years old,Female,High School,100339
16-19 years old,Female,College (Associate's Degree),33327
16-19 years old,Female,University undergraduate,7262
16-19 years old,Female,Master's,41
